cluster,unref,deep,orga,blocks,procrastination,perfectionism,innateability,ktransforming,productivity,no,gender,faculty,studentstatus,studylength,writingcourse,monthsamel
2,2.33333333333333,4.25,3.33333333333333,2,2.25,2,1,5,3.25,112,1,9,4,15,1,9
2,2,4.25,3,3,3.5,2,2,4,1.5,113,2,9,4,52,0,0
1,2.33333333333333,4,4,3,2.75,3,3,4.33333333333333,2,114,2,3,4,63,1,0
2,2,4.25,3.33333333333333,1.33333333333333,3,2,1,4.33333333333333,3.25,115,2,3,4,172,0,20
2,2,3.5,2.33333333333333,1.66666666666667,4.25,2,1.5,3.66666666666667,3,116,2,1,4,40,11,2
2,2.33333333333333,5,3,1.33333333333333,3.25,3,1.5,4,3.25,117,2,3,2,40,2,0
1,1.66666666666667,3.5,3.66666666666667,1.33333333333333,3.25,2,1,4.33333333333333,1.75,118,1,3,2,40,0,0
2,2.33333333333333,3.75,2.33333333333333,3.33333333333333,2.25,1.33333333333333,1,3,1.25,119,1,3,4,51,1, 
3,2.66666666666667,3.75,1.66666666666667,4,4.75,3.66666666666667,2,3.33333333333333,1.75,120,2,1,4,56,3,18
3,2.33333333333333,3.25,2.66666666666667,3.66666666666667,4,2,3.5,2,1.25,121,2,3,4,55,2,2
1,1.66666666666667,4,3.66666666666667,2.66666666666667,3.25,3.33333333333333,1,3.66666666666667,1.75,122,2,1,4,68,4, 
1,2.33333333333333,4,4,1.66666666666667,2.5,2,1,5,2.5,123,2,3,4,44,2,1
3,3.66666666666667,3.25,3.33333333333333,2,4.25,4,1,4.33333333333333,1.5,124,2,3,4,69,1,0
3,4.33333333333333,4,3.66666666666667,2.66666666666667,3.25,1.33333333333333,1,5,3.5,125,2,3,4,57,0,8
3,3.33333333333333,3,3,3.33333333333333,4,3.66666666666667,1.5,4.66666666666667,2.5,126,1,1,4,99,1,6
2,2,3.75,2.33333333333333,3,3.75,5,1,4.66666666666667,2.75,127,2,3,4,10,0,0
2,1,3.25,3.33333333333333,1,2.75,1,3,4.66666666666667,3.5,128,2,9,4,57,18,24
2,2,3.5,3,4.33333333333333,4.5,2.66666666666667,1,2.66666666666667,2.25,129,2,3,4,45,5,0
3,3,3.5,2.33333333333333,3,3.25,2.66666666666667,2,4,1.75,130,2,1,4,57,2,0
3,3,2.75,3.66666666666667,1.33333333333333,1.75,2.33333333333333,1,4,2.75,131,2,3,4,57,4,0
2,1,5,1,3.66666666666667,4,1.66666666666667,1,4.33333333333333,1,132,1,3,4,49,6,6
1,2,3.5,4,2,3,2,2,4.33333333333333,2,133,2,9,4,17,7,120
1,2.33333333333333,4.25,5,3,2.5,4,1,4.66666666666667,2.75,134,2,9,4,22,2,200
1,2.33333333333333,3.5,4.33333333333333,1.33333333333333,2.5,1.66666666666667,1.5,4.33333333333333,4,135,1,9,4,9,3,0
1,1.33333333333333,5,4.66666666666667,3,2.5,1.33333333333333,1,5,4.5,136,1,9,4,22,10,200
1,2.33333333333333,3.25,4.33333333333333,3.66666666666667,3.75,2.66666666666667,1,4,2.25,137,2,9,4,46,5,0
3,3.33333333333333,4,2,2.66666666666667,4.25,3.33333333333333,1,3.66666666666667,2.25,138,2,9,4,21,6,0
3,3,3.75,2.33333333333333,1,2.75,1.66666666666667,1,4.33333333333333,3.75,139,2,2,4,9,17,226
2,2.33333333333333,4.5,3.33333333333333,1.33333333333333,2.75,1.33333333333333,2.5,4.66666666666667,2.75,140,2,2,4,10,2,84
1,1,4.5,3.66666666666667,2,2.25,2,2,4,3.25,141,2,2,4,10,3,108
2,2,4.25,2.33333333333333,2.33333333333333,3,1.33333333333333,1,3.33333333333333,2,142,1,2,4,9,2,60
3,4,4.25,2.33333333333333,4,4.5,2.33333333333333,3,3,2,143,2,2,4,9,2,36
2,2,4.75,2,3.33333333333333,3.75,1.66666666666667,1,4.66666666666667,2,144,2,9,4,9,1,5
1,2,4.25,4.33333333333333,3,2.75,2.33333333333333,2,3,3,145,1,9,4,10,5,5
1,1.66666666666667,4.75,3.66666666666667,2,2,4,1,4,2.25,146,2,9,3,5,53,5
2,1,4,2.66666666666667, , , , , , ,147,2,6, ,5,0,0
1,2,4.25,4,1.33333333333333,2.5,1.66666666666667,1,4,4.25,148,2,2,1,5,2,39
